ID,Epic,Feature,Title,Description,Owner,Points,Sprint,Priority,Status,Dependencies,Definition of Done,Estimated Hours
F1.1,Data Enrichment,Scraping Réglementaire,"T1.1: Modèle Pydantic RegulatoryDocument",Concevoir modèle Pydantic avec validation,Jules,1,S11,P0,Pending,None,"Modèle fusionné, tests passent",1
F1.2,Data Enrichment,Scraping Réglementaire,"T1.2: Implémenter EsmaScraper",Scraper BeautifulSoup pour ESMA,Jules,2,S11,P0,Pending,F1.1,"Scraper opérationnel, 10+ documents testés",6
F1.3,Data Enrichment,Scraping Réglementaire,"T1.3: Implémenter SecScraper",Scraper BeautifulSoup pour SEC,Jules,2,S11,P0,Pending,F1.1,"Scraper opérationnel, 10+ documents testés",6
F1.4,Data Enrichment,Scraping Réglementaire,"T1.4: Ajouter migration Alembic",Créer table regulatory_documents,Jules,1,S11,P0,Pending,None,"Migration appliquée, schema validé",2
F1.5,Data Enrichment,Scraping Réglementaire,"T1.5: Intégrer APScheduler",Scheduler 2× quotidien,Jules,1,S11,P0,Pending,F1.4,"Tâche exécutée, logs vérifiés",2
F1.6,Data Enrichment,Scraping Réglementaire,"T1.6: Tests unitaires",Tests scraper avec mocks HTTP,Jules,1,S11,P0,Pending,F1.2;F1.3,"Coverage ≥80%, tests pass",4
F1.7,Data Enrichment,Scraping Réglementaire,"T1.7: Documentation",Docs + logging setup,Jules,1,S11,P0,Pending,All,"Doc écrite, env vars documentées",2
F2.1,Data Enrichment,Sources ESMA/SEC RSS,"T2.1: Config feedparser",Ajouter dépendance + config,Jules,1,S11,P0,Pending,None,"Dépendance installée, config OK",1
F2.2,Data Enrichment,Sources ESMA/SEC RSS,"T2.2: Implémenter RssFeedCollector",Parser RSS abstrait,Jules,1,S11,P0,Pending,F2.1,"Classe abstraite merge, tests pass",3
F2.3,Data Enrichment,Sources ESMA/SEC RSS,"T2.3: Sous-classes ESMA/SEC",Implémentations concrètes,Jules,1,S11,P0,Pending,F2.2,"Deux sources merge, 3+ articles parsés",2
F2.4,Data Enrichment,Sources ESMA/SEC RSS,"T2.4: Intégrer dans jobs",Scheduler quotidien,Jules,1,S11,P0,Pending,F2.3,"Tâche lancée, logs vérifiés",1
F2.5,Data Enrichment,Sources ESMA/SEC RSS,"T2.5: Tests unitaires",Tests RSS parser avec mocks,Jules,1,S11,P0,Pending,F2.2;F2.3,"Coverage ≥80%, tests pass",2
F3.1,ML Analytics,Clustering K-Means,"T3.1: Feature engineering",RSI, Bollinger, volume, trend features,Mikael,1,S11,P0,Pending,None,"Features extracted, normalized",3
F3.2,ML Analytics,Clustering K-Means,"T3.2: Implémenter pipeline KMeans",K-Means avec auto-tuning silhouette,Mikael,2,S11,P0,Pending,F3.1,"Pipeline merge, silhouette ≥0.5",4
F3.3,ML Analytics,Clustering K-Means,"T3.3: Tuning silhouette/elbow",Optimal K determination,Mikael,1,S11,P0,Pending,F3.2,"K=3-5 selected, elbow plot",2
F3.4,ML Analytics,Clustering K-Means,"T3.4: Export MinIO + MLflow",Save results + tracking,Mikael,1,S11,P0,Pending,F3.3,"Snapshot saved, MLflow logged",2
F3.5,ML Analytics,Clustering K-Means,"T3.5: Tests reproductibilité",Deterministic seeds + validation,Mikael,1,S11,P0,Pending,F3.2,"Seed management, tests pass",3
F3.6,ML Analytics,Clustering K-Means,"T3.6: Intégration frontend",Plotly heatmap visualization,Mikael,1,S11,P0,Pending,F3.4,"Chart merge, interactive",2
F4.1,User Engagement,Système d'Alertes,"T4.1: Modèle Pydantic",UserAlert + AlertPreference models,Jules,1,S12,P1,Pending,None,"Models merge, validation OK",2
F4.2,User Engagement,Système d'Alertes,"T4.2: Migration BDD",user_alerts + alert_preferences tables,Jules,1,S12,P1,Pending,F4.1,"Migration apply, schema OK",1
F4.3,User Engagement,Système d'Alertes,"T4.3: EmailAlertService",SMTP service (Gmail/Mailgun),Jules,2,S12,P1,Pending,F4.2,"Service merge, emails tested",3
F4.4,User Engagement,Système d'Alertes,"T4.4: TelegramAlertService",Webhook Telegram service,Jules,2,S12,P1,Pending,F4.2,"Service merge, webhooks tested",3
F4.5,User Engagement,Système d'Alertes,"T4.5: Orchestration signal_generator",Trigger alerts on signal,Jules,1,S12,P1,Pending,F4.3;F4.4,"Integration merge, tested E2E",2
F4.6,User Engagement,Système d'Alertes,"T4.6: API endpoints",GET alerts + POST preferences,Jules,1,S12,P1,Pending,F4.5,"Routes merge, tested",2
F4.7,User Engagement,Système d'Alertes,"T4.7: Tests unitaires",Mock SMTP/Telegram, integration tests,Jules,2,S12,P1,Pending,F4.3;F4.4,"Coverage ≥80%, tests pass",4
F4.8,User Engagement,Système d'Alertes,"T4.8: Documentation",Docs + env vars + logging,Jules,1,S12,P1,Pending,All,"Doc complete, env template",1
F5.1,Data Enrichment,On-Chain Blockchain.com,"T5.1: Reconnaître API",Rate limits, endpoints, auth,Jules,1,S12,P1,Pending,None,"API docs reviewed, 50 req/h confirmed",2
F5.2,Data Enrichment,On-Chain Blockchain.com,"T5.2: Implémenter Collector",BlockchainComCollector class,Jules,2,S12,P1,Pending,F5.1,"Collector merge, data flowing",4
F5.3,Data Enrichment,On-Chain Blockchain.com,"T5.3: Modèles on-chain metrics",Pydantic models (addresses, whale tx),Jules,1,S12,P1,Pending,None,"Models merge, validation",2
F5.4,Data Enrichment,On-Chain Blockchain.com,"T5.4: Migration BDD",on_chain_metrics table (hypertable),Jules,1,S12,P1,Pending,F5.3,"Migration apply, insertions tested",1
F5.5,Data Enrichment,On-Chain Blockchain.com,"T5.5: APScheduler integration",Daily collection job,Jules,1,S12,P1,Pending,F5.4,"Job running, logs verified",1
F5.6,Data Enrichment,On-Chain Blockchain.com,"T5.6: Tests unitaires",Mock HTTP, data validation,Jules,2,S12,P1,Pending,F5.2,"Coverage ≥80%, tests pass",3
F5.7,Data Enrichment,On-Chain Blockchain.com,"T5.7: Documentation",API setup, env vars, feature guide,Jules,1,S12,P1,Pending,All,"Doc complete",1
F6.1,ML Models Phase 2,LSTM Deep Learning,"T6.1: Feature engineering",48h rolling window features,Mikael,1,S13,P1,Pending,None,"Features extracted, validated",4
F6.2,ML Models Phase 2,LSTM Deep Learning,"T6.2: Préparation dataset",Train/val/test temporal split,Mikael,1,S13,P1,Pending,F6.1,"Dataset loaded, shapes verified",3
F6.3,ML Models Phase 2,LSTM Deep Learning,"T6.3: Modèle LSTM",PyTorch architecture 1-2 layers,Mikael,2,S13,P1,Pending,F6.2,"Model merge, forward pass tested",4
F6.4,ML Models Phase 2,LSTM Deep Learning,"T6.4: Entraînement + validation",Training loop, validation metrics,Mikael,2,S13,P1,Pending,F6.3,"Model trained, metrics ≥65% acc",4
F6.5,ML Models Phase 2,LSTM Deep Learning,"T6.5: MLflow tracking",Hyperparameter search + logging,Mikael,1,S13,P1,Pending,F6.4,"Experiments tracked, dashboard",2
F6.6,ML Models Phase 2,LSTM Deep Learning,"T6.6: Tests reproductibilité",Seed management, deterministic runs,Mikael,1,S13,P1,Pending,F6.4,"Tests pass, seeds fixed",3
F6.7,ML Models Phase 2,LSTM Deep Learning,"T6.7: DVC + model save",Dataset versioning, ONNX export,Mikael,1,S13,P1,Pending,F6.5,"Models saved, DVC committed",1
